user,paymentMethod,taxPrice,shippingPrice,totalPrice,isPaid,paidAt,isDelivered,createdAt,status,orderStatus,customerType,_id
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,900.00,1075.50,1,2021-09-08 18:20:04,0,2021-09-08 18:15:36,Pending Payment,On Hold,Ordinary,355
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,1500.00,51091.98,1,2021-09-08 16:40:38,0,2021-09-08 16:28:32,Pending Payment,On Hold,Ordinary,354
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-08 16:04:58,Pending Payment,On Hold,Ordinary,353
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,440.70,0,,0,2021-09-08 15:51:33,Pending Payment,On Hold,Ordinary,352
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,49837.50,1,2021-09-08 15:49:50,1,2021-09-08 15:40:45,Pending Payment,On Hold,Ordinary,351
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,440.70,0,,0,2021-09-08 14:35:27,Pending Payment,On Hold,Ordinary,350
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,0.00,0.00,0,,0,2021-09-08 14:32:53,Pending Payment,On Hold,Ordinary,349
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-08 14:32:01,Pending Payment,On Hold,Ordinary,348
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-08 14:20:59,Pending Payment,On Hold,Ordinary,347
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,2816.10,0,,0,2021-09-08 13:55:30,Pending Payment,On Hold,Ordinary,346
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.75,0,,0,2021-09-08 13:28:27,Pending Payment,On Hold,Ordinary,345
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,41310.10,0,,0,2021-09-08 13:03:40,Pending Payment,On Hold,Ordinary,344
1,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-08 10:55:09,Pending Payment,On Hold,Ordinary,343
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,394.71,0,,0,2021-09-08 10:53:47,Pending Payment,On Hold,Ordinary,342
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,2021-09-07 17:22:09,0,2021-09-07 17:21:48,Pending Payment,On Hold,Ordinary,341
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,0,,0,2021-09-07 17:18:06,Pending Payment,On Hold,Ordinary,340
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,49837.50,0,,0,2021-09-07 17:17:13,Pending Payment,On Hold,Ordinary,339
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,0,,0,2021-09-07 16:38:18,Pending Payment,On Hold,Ordinary,338
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-07 16:37:12,Pending Payment,On Hold,Ordinary,337
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,6000.00,731783.17,1,2021-09-07 14:04:34,1,2021-09-07 13:23:05,Pending Payment,On Hold,Ordinary,336
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-07 11:01:17,Pending Payment,On Hold,Ordinary,335
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,0,,0,2021-09-07 10:14:09,Pending Payment,On Hold,Ordinary,334
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,1,2021-09-06 11:04:20,0,2021-09-06 10:57:19,Pending Payment,On Hold,Ordinary,333
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,1,,0,2021-09-06 10:49:37,Pending Payment,On Hold,Ordinary,332
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,1,,0,2021-09-06 10:40:25,Pending Payment,On Hold,Ordinary,331
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,1,,0,2021-09-06 10:31:49,Pending Payment,On Hold,Ordinary,330
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,1,,0,2021-09-05 17:40:48,Pending Payment,On Hold,Ordinary,329
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,1,,0,2021-09-05 17:31:27,Pending Payment,On Hold,Ordinary,328
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,1,,0,2021-09-05 16:11:43,Pending Payment,On Hold,Ordinary,327
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,1,,0,2021-09-05 16:08:37,Pending Payment,On Hold,Ordinary,326
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,1,,0,2021-09-05 15:53:02,Pending Payment,On Hold,Ordinary,325
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,397.17,1,,0,2021-09-05 15:13:23,Pending Payment,On Hold,Ordinary,324
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,1,,0,2021-09-05 15:10:26,Pending Payment,On Hold,Ordinary,323
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-05 10:17:51,Pending Payment,On Hold,Ordinary,322
15,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-05 10:14:35,Pending Payment,On Hold,Ordinary,321
13,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 19:15:40,Pending Payment,Cancel,Ordinary,320
13,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 19:12:45,Pending Payment,Cancel,Ordinary,319
14,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 19:10:12,Pending Payment,Cancel,Ordinary,318
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 19:06:05,Pending Payment,Cancel,Ordinary,317
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 18:55:19,Pending Payment,Cancel,Ordinary,316
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 18:37:00,Pending Payment,Cancel,Ordinary,315
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 18:29:44,Pending Payment,Cancel,Ordinary,314
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 18:24:36,Done,Cancel,Ordinary,313
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 18:18:10,Pending Payment,Cancel,Ordinary,312
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 18:16:46,Pending Payment,Cancel,Ordinary,311
15,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 18:08:18,Pending Payment,Cancel,Ordinary,310
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 17:57:22,Pending Payment,Cancel,Ordinary,309
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 17:54:41,Pending Payment,Cancel,Ordinary,308
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,0,,0,2021-09-04 17:47:13,Pending Payment,Cancel,Ordinary,307
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 17:43:54,Pending Payment,Cancel,Ordinary,306
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 17:37:24,Pending Payment,Cancel,Ordinary,305
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 17:36:05,Pending Payment,Cancel,Ordinary,304
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 17:26:56,Pending Payment,Cancel,Ordinary,303
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,397.17,0,,0,2021-09-04 16:47:24,Pending Payment,Cancel,Ordinary,302
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 16:02:06,Pending Payment,Cancel,Ordinary,301
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 15:57:52,Pending Payment,Cancel,Ordinary,300
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 15:57:33,Pending Payment,Cancel,Ordinary,299
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 15:55:15,Pending Payment,Cancel,Ordinary,298
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,397.17,0,,0,2021-09-04 15:45:23,Pending Payment,Cancel,Ordinary,297
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 15:44:30,Pending Payment,Cancel,Ordinary,296
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 15:34:55,Pending Payment,Cancel,Ordinary,295
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 15:20:52,Pending Payment,Cancel,Ordinary,294
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 14:55:34,Pending Payment,Cancel,Ordinary,293
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 14:49:40,Pending Payment,Cancel,Ordinary,292
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 14:46:21,Pending Payment,Cancel,Ordinary,291
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 14:42:01,Pending Payment,Cancel,Ordinary,290
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 14:40:15,Pending Payment,Cancel,Ordinary,289
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 14:35:23,Pending Payment,Cancel,Ordinary,288
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 14:34:35,Pending Payment,Cancel,Ordinary,287
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 14:15:32,Pending Payment,Cancel,Ordinary,286
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,11654.30,0,,0,2021-09-04 14:01:34,Pending Payment,Cancel,Ordinary,285
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,0,,0,2021-09-04 13:57:06,Pending Payment,Cancel,Ordinary,284
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,310.80,0,,0,2021-09-04 13:56:04,Pending Payment,Cancel,Ordinary,283
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:55:08,Pending Payment,Cancel,Ordinary,282
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:54:59,Pending Payment,Cancel,Ordinary,281
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:54:26,Pending Payment,Cancel,Ordinary,280
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:54:19,Pending Payment,Cancel,Ordinary,279
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:52:27,Pending Payment,Cancel,Ordinary,278
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 13:51:27,Pending Payment,Cancel,Ordinary,277
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 13:51:02,Pending Payment,Cancel,Ordinary,276
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 13:50:47,Pending Payment,Cancel,Ordinary,275
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,709.40,0,,0,2021-09-04 13:45:59,Pending Payment,Cancel,Ordinary,274
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,709.40,0,,0,2021-09-04 13:42:30,Pending Payment,Cancel,Ordinary,273
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:42:04,Pending Payment,Cancel,Ordinary,272
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,1800.00,40359.60,0,,0,2021-09-04 13:41:26,Pending Payment,Cancel,Ordinary,271
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,709.40,0,,0,2021-09-04 13:41:02,Pending Payment,Cancel,Ordinary,270
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:40:31,Pending Payment,Cancel,Ordinary,269
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:40:04,Pending Payment,Cancel,Ordinary,268
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 13:36:26,Pending Payment,Cancel,Ordinary,267
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:30:26,Pending Payment,Cancel,Ordinary,266
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:26:28,Pending Payment,Cancel,Ordinary,265
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:25:00,Pending Payment,Cancel,Ordinary,264
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:22:14,Pending Payment,Cancel,Ordinary,263
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:17:54,Pending Payment,Cancel,Ordinary,262
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:16:20,Pending Payment,Cancel,Ordinary,261
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:15:24,Pending Payment,Cancel,Ordinary,260
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:14:28,Pending Payment,Cancel,Ordinary,259
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:14:02,Pending Payment,Cancel,Ordinary,258
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:13:14,Pending Payment,Cancel,Ordinary,257
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:12:54,Pending Payment,Cancel,Ordinary,256
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:10:57,Pending Payment,Cancel,Ordinary,255
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:09:16,Pending Payment,Cancel,Ordinary,254
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:08:50,Pending Payment,Cancel,Ordinary,253
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:06:52,Pending Payment,Cancel,Ordinary,252
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:04:50,Pending Payment,Cancel,Ordinary,251
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:03:39,Pending Payment,Cancel,Ordinary,250
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:03:22,Pending Payment,Cancel,Ordinary,249
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:03:00,Pending Payment,Cancel,Ordinary,248
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:02:32,Pending Payment,Cancel,Ordinary,247
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:58,Pending Payment,Cancel,Ordinary,246
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:58,Pending Payment,Cancel,Ordinary,245
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:57,Pending Payment,Cancel,Ordinary,244
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:56,Pending Payment,Cancel,Ordinary,243
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:37,Pending Payment,Cancel,Ordinary,242
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:32,Pending Payment,Cancel,Ordinary,241
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:54:06,Pending Payment,Cancel,Ordinary,240
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 12:47:19,Pending Payment,Cancel,Ordinary,239
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:45:28,Pending Payment,Cancel,Ordinary,238
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,651.00,0,,0,2021-09-04 12:45:05,Pending Payment,Cancel,Ordinary,237
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:44:48,Pending Payment,Cancel,Ordinary,236
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:38:31,Pending Payment,Cancel,Ordinary,235
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 12:35:10,Pending Payment,Cancel,Ordinary,234
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:33:56,Pending Payment,Cancel,Ordinary,233
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 12:32:55,Pending Payment,Cancel,Ordinary,232
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:30:59,Pending Payment,Cancel,Ordinary,231
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:25:40,Pending Payment,Cancel,Ordinary,230
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:24:06,Pending Payment,Cancel,Ordinary,229
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:23:17,Pending Payment,Cancel,Ordinary,228
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:14:43,Pending Payment,Cancel,Ordinary,227
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:12:22,Pending Payment,Cancel,Ordinary,226
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:11:27,Pending Payment,Cancel,Ordinary,225
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:00:29,Pending Payment,Cancel,Ordinary,224
18,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 11:46:35,Pending Payment,Cancel,Ordinary,223
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,440.70,0,,0,2021-09-04 11:45:51,Pending Payment,Cancel,Ordinary,222
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 11:24:15,Pending Payment,Cancel,Ordinary,221
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 11:17:40,Pending Payment,Cancel,Ordinary,220
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 11:13:33,Pending Payment,Cancel,Ordinary,219
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,440.70,0,,0,2021-09-04 11:10:18,Pending Payment,Cancel,Ordinary,218
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 11:01:46,Pending Payment,Cancel,Ordinary,217
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 10:58:08,Pending Payment,Cancel,Ordinary,216
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 10:33:15,Pending Payment,Cancel,Ordinary,215
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 10:32:13,Pending Payment,Cancel,Ordinary,214
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 09:56:28,Pending Payment,Cancel,Ordinary,213
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 09:55:46,Pending Payment,Cancel,Ordinary,212
17,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 09:54:37,Pending Payment,Cancel,Ordinary,211
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,394.71,0,,0,2021-09-02 13:25:49,Pending Payment,Cancel,Ordinary,210
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-02 13:24:46,Pending Payment,Cancel,Ordinary,209
